id,created_at,text,Translate to Arabic,Translate to English
179709199016673280,3/13/2012 23:23:06,I just unlocked the 6-month graphs on #twittercounter. Find out more http://t.co/JNDHuHrE via @TheCounter #paidwithatweet,,
179171438232731648,3/12/2012 11:46:14,RT @kasimf: ما لا يمكن تحقيقه بالقوة يمكن تحقيقه بمزيد من القوة. تكتيك إسرائيلي يستخدمه الطواغيت العرب في قمع الثورات,,"What is not acheivable by force, you can acheive by more force. An israeli taktics used by Arbic Dictators against arabic revolutions"
178130328156770304,3/9/2012 14:49:14,"RT @SYRIAslyJana: #AssadKilled10K...thats 10,000 reasons to not be silenced #Syria",,
178130290307375105,3/9/2012 14:49:05,"RT @Nora0315: 10,000+ civilians killed since March 15. 4275 in Homs. 1601 in Idlib. 1168 in Daraa. 1083 in Hama. 943 in Damascus suburbs ...",,
178129972735639553,3/9/2012 14:47:49,RT @kasimf: إذا اراد نظام القضاء على انتفاضة شعبية بأقصر الطرق عمد الى عسكرتها فمهما تسلح المحتجون لا يضاهون الجيوش النظامية من حيث القو ...,,"If a regime needs to stop a revolution, all what it needs, is to arm it. No matter how armed the revolts, they cannot stand against regular armies."
177789810663104512,3/8/2012 16:16:08,"RT @rejon: For cost of an iPad, you can truly participate in building something new, you may control, bypass 100M USD processor wall: @m ...",,
177789808658223104,3/8/2012 16:16:08,"RT @rejon: Phones, Tablets, Computers are over already. Apple won. The show is over. @qihardware + @milkymistvj are post-apple. Let's run!",,
177535767881584640,3/7/2012 23:26:40,the best way to find if book is worth reading is by finding if it has an audio version. if it does then it's not worth the time,,
177534932493680642,3/7/2012 23:23:21,not to mention listening to less full of crap audio books. I think any book that have an audio version is full of crap,,
177534469815795713,3/7/2012 23:21:30,I don't get what is wrong with eating bad junky food all the time! benefits include dying earlier and saving at least 2 hours a day,,
177533417251024896,3/7/2012 23:17:19,Listening to audio books made me realize how much time I spend making food and washing dishes afterward. Long live junk food!,,
177223931898511362,3/7/2012 2:47:32,"RT @adharni: ""iOS 5 captured approximately 75% of all iOS users in the same amount of time it took Gingerbread to get 4% of all Android  ...",,
177220802456993792,3/7/2012 2:35:06,RT @WhatsApp: We are told that WhatsApp is now being blocked in Syria. A blow to free speech and open communications everywhere. Sad day ...,,
177017767856320512,3/6/2012 13:08:19,"RT @Deanofcomedy: John McCain says he hates war but he has called for bombing Iraq, Libya, Iran and now Syria. Imagine what he would blo ...",,
176484632907366400,3/5/2012 1:49:50,I liked a @YouTube video http://t.co/BOEceyjB Grace Hopper - Nanoseconds,,
176420816584589313,3/4/2012 21:36:15,I liked a @YouTube video http://t.co/PJUyTg7J هام جدا - وثائقي نادر من داخل باباعمرو في حمص - ١ آذار,,
175556619969638401,3/2/2012 12:22:14,RT @Samsomhoms: I confirm that humanitarian aid (Red cross/crescent) has yet to enter #BabaAmr in #Homs #Syria,,
175556551971573760,3/2/2012 12:21:58,"RT @Samsomhoms: #Syria #Homs
مؤكد عدم دخول أي من منظمات الاغاثة الانسانية (الهلال والصليب الأحمر) إل حي #باباعمرو في #حمص حتى اللحظة #سورية",,Confirmed: No humanitarian organization could go inside Baba Amr neighborhood so far
175556186018549760,3/2/2012 12:20:31,RT @NewsSyRev: إلى أحرار تويتر... ساعدونا في إيصال صوت ثورة أبطال سوريا إلى أكبر شريحة، وانشروا معنا حسابنا هذا... ضغطة على زر ريتويت لن ...,,Tweter Freedom Fighters! Help us to spread Syrian Revolution Voice by re-tweeting this tweet.
175554111289303040,3/2/2012 12:12:16,I liked a @YouTube video http://t.co/07GgeKnG حمص، جرح ينزف وسط نقص في المساعدات الطبية,,
175532699128299521,3/2/2012 10:47:11,"RT @GreatestQuotes: ""If you think education is expensive, try ignorance."" - Derek Bok",,
175532358357893120,3/2/2012 10:45:50,RT @kasimf: قبل أن تغزو أميركا العراق صورت الجيش العراقي زورا وبهتانا على أنه رابع أقوى جيش بالعالم. لماذا؟ كي تظهر بأنها انتصرت على واح ...,,
175532225528479744,3/2/2012 10:45:18,"RT @kasimf: أسطورة ""بابا عمر"" إعلامية معنوية أكثر منها عسكرية، وبالتالي فإن سقوطها إعلامي معنوي أكثر منه عسكري",,
175532194410938368,3/2/2012 10:45:11,"RT @kasimf: وسائل الإعلام ضخمت  ""بابا عمرو"" كثيراً، فظن الناس أنه أقوى قلعة عسكرية في التاريخ، مع العلم أنه حي بسيط بداخله بضعة مسلحين ت ...",,
175531911740010497,3/2/2012 10:44:03,RT @kasimf: الإنسان المتعصب هو اضعف الناس  لأنه قابل للتسيير في الاتجاه الذي يرسمه له الخبثاء بسهولة، لهذا فهو ضحية ضعف قدراته العقلية,,
175224962838310912,3/1/2012 14:24:21,نظام المقاومة والممانعة يقتحم جباتا الخشب بعد الحصول على موافقة إسرائيل على إثر خروج مظاهرة معارضة للنظام وسقوط سبع شهداء هناك #Syria,,
174872683459260416,2/29/2012 15:04:31,"RT @bbclysedoucet: #Syria activist #Homs ""no water, no electricity, no fuel..if pple don't die from bombs, will die from hunger or sickn ...",,
172740237603246080,2/23/2012 17:50:56,"RT @Abukraim: يا جماعةالرجاء النشر
شوفو الديمقراطية
@DalalDalool @HappyFish8 @hayalattakia @Midanieh @omkamel @sernweh @SyriaGirl1 http: ...",,
172739975425703936,2/23/2012 17:49:54,"RT @NewsSyRev: جامعة حلب :: تم اعتقال بعض الطلاب الأحرار اليوم بمساعدة من كانوا يحملون يحملون شارة الهلال الأحمر !!
#Syria",,Halab University: Some free students had been arrested with the help from some guys wearing Red Crescent badge
172693608695205888,2/23/2012 14:45:39,"I liked a @YouTube video http://t.co/6lEUuA8i Syria: the horror of Homs, a city at war",,
172466430544064512,2/22/2012 23:42:55,I liked a @YouTube video http://t.co/OTRnH5hh حمص - باباعمرو : مؤثر جداً طفل مصاب يحتضر 21-02-2012,,
171032195832623104,2/19/2012 0:43:47,@Jiraffa @seanbonner @Timcast @WillyFoReal ah ok! let me know how I can help you on your visit. are you planning to come to Damascus?,,
171019791631527938,2/18/2012 23:54:30,@seanbonner @Jiraffa @Timcast @WillyFoReal also inside Turkey you don't need a bulletproof vest no shooting happens there. it's very safe,,
171019666662244353,2/18/2012 23:54:00,@seanbonner @Jiraffa @Timcast @WillyFoReal I don't understand why you think it's not safe to travel by bus inside Turkey?,,
170374161221431297,2/17/2012 5:09:00,"can't agree more! The Real Opposition in Syria is Not the Syrian National Council or Free Syrian Army,” http://t.co/7wJK0gEK",,
170351112333963264,2/17/2012 3:37:24,مقتل الصحفي الأمريكي أنطوني شديد مراسل صحيفة نيويورك تايمز في سورية #Syria أسباب الوفاة ما زالت غير معروفة,,"Death of NY Times reporter, an American Journalist named Antony, causes of death are still unknown "
168462012358209536,2/11/2012 22:30:48,I liked a @YouTube video http://t.co/O5SOIStp Malek Jandali Freedom Qashoush Symphony مالك جندلي حرية سيمفوني,,
168358356115922945,2/11/2012 15:38:54,RT @kasimf: تصوروا أن الخائن في نظر الأنظمة الطغيانية هو الشخص الذي ينتقدها، أما هي التي تذبح الناس بالألوف فهي وطنية,,
